20943580;185
21041210;1
21932795;1
21040210;1
20740320;1
20785225;1
22050000;1
21931385;1
21040000;1
20530001;1
22240003;1
22281035;1
20271203;1
21931001;1
22240005;1
22710092;1
20931003;1
21645210;1
21870312;1
22050010;1
20231045;1
20725230;1
20510412;1
22050032;1
21710231;1
21931420;1
20960008;1
22011900;1
22451260;1
22031071;1
20260142;1
21715250;1
21775002;1
22060001;1
22031011;1
22271043;1
22440035;1
22040042;1
22051011;1
22060040;1
21715071;1
22421025;1
22780290;1
20931003;1
22610000;1
21721021;1
23510220;1
20270210;1
20531571;1
21735200;1
25515125;1
22051000;1
22611260;1
23520572;1
23575080;1
