21,455,10
7,147,1
121,190,5
20,343,1
117,264,1
121,193,7
121,192,14
121,194,4
185,12,3
218,81,37
185,61,1
185,74,2
185,114,1
218,94,13
218,95,10
218,63,13
218,107,15
185,40,2
185,118,3
185,2,2
168,41,12
9,169,3
168,63,6
180,204,1
119,132,1
180,67,2
211,226,1
180,35,1
243,126,2
168,66,11
243,16,2
164,13,2
211,101,1
164,33,2
119,190,2
13,249,2
211,27,1
168,53,3
171,119,2
118,344,8
118,336,18
23,471,8
213,4,1
23,493,12
22,508,86
163,74,1
119,15,3
17,174,2
17,154,1
118,349,19
17,166,1
163,18,1
17,128,2
163,76,2
170,200,1
10,104,1
190,20,32
190,33,38
118,358,8
118,362,13
118,400,11
160,89,11
160,90,9
173,38,1
6,53,1
6,54,1
6,44,2
117,38,2
206,67,1
117,319,1
10,58,1
190,35,36
190,71,41
167,5,1
188,20,5
10,70,2
208,16,3
167,8,1
13,727,2
160,91,14
6,251,1
231,25,1
14,321,1
188,1,5
21,34,5
206,86,2
117,44,3
117,45,1
10,117,1
167,23,1
205,11,2
173,37,1
5,38,1
216,89,3
188,21,4
232,45,2
246,199,1
169,116,23
169,29,20
190,24,22
242,114,1
208,49,2
118,353,4
167,6,2
160,92,11
5,12,1
216,75,4
21,40,7
188,101,2
232,44,1
118,360,11
6,49,1
173,39,1
6,51,1
240,58,1
216,73,2
232,38,1
231,56,1
232,73,1
118,96,2
17,100,1
14,310,3
17,104,3
5,107,1
216,108,3
22,168,61
21,499,3
169,90,1
175,116,19
252,5,1
19,266,1
22,108,60
5,156,2
205,28,1
208,28,3
22,178,41
10,255,1
206,25,1
17,102,1
19,130,3
22,110,86
16,56,1
22,112,74
14,305,1
22,200,79
22,177,51
10,126,1
17,184,1
252,4,1
19,339,1
242,123,1
178,45,1
6,15,1
117,15,2
6,14,2
231,81,1
6,13,2
120,12,2
20,329,1
22,171,43
22,180,50
14,389,2
169,112,1
167,29,3
10,213,1
14,332,1
17,133,1
175,33,22
175,34,29
252,30,1
19,338,2
14,316,2
208,26,3
22,170,53
22,167,50
14,390,1
252,88,1
17,125,1
178,50,1
6,239,3
205,29,2
208,25,1
22,181,40
22,175,41
14,300,2
167,146,1
167,163,1
3,164,1
9,308,1
161,119,5
180,2,3
182,98,1
180,201,1
161,113,2
182,99,1
182,14,1
3,163,2
179,266,2
9,318,4
182,180,2
22,150,73
175,75,19
246,149,1
160,49,4
230,38,2
214,77,2
234,46,1
173,42,2
15,249,1
177,8,18
15,53,6
219,142,26
207,26,2
252,39,1
208,63,2
177,30,41
219,141,29
19,198,3
207,25,1
173,61,1
207,31,5
169,98,1
177,37,33
231,98,1
169,79,1
123,48,1
15,400,6
169,120,3
177,25,41
235,85,2
207,8,3
177,93,72
177,50,49
177,32,34
7,201,1
235,30,1
23,189,2
15,60,7
15,59,1
125,50,1
173,45,1
167,132,8
207,2,7
235,92,1
167,118,7
207,67,2
124,175,1
163,100,2
15,10,3
15,13,4
10,207,1
177,36,28
177,4,23
16,199,2
207,7,6
177,9,23
177,10,31
177,112,40
15,49,3
177,2,9
167,117,4
162,89,8
21,481,1
177,16,39
219,140,32
10,281,1
207,13,2
190,61,40
177,22,30
167,35,1
208,4,4
190,54,57
208,56,3
207,6,5
16,60,1
167,55,4
177,39,32
12,496,3
15,52,2
15,61,6
207,4,3
169,4,4
242,64,1
24,479,1
23,192,2
208,60,4
124,288,1
208,75,1
12,90,2
219,164,32
12,403,2
18,50,2
235,99,1
177,119,50
216,91,4
216,24,8
22,371,102
12,88,2
12,89,2
208,38,1
24,439,1
175,63,32
175,64,22
191,42,1
177,14,35
235,98,1
24,608,2
124,217,3
18,29,1
211,212,1
169,3,3
219,100,33
5,215,3
5,257,2
124,273,1
219,160,31
18,54,1
208,41,3
208,52,1
18,49,1
12,360,2
22,162,78
216,34,2
124,270,1
216,37,2
10,232,1
24,468,1
12,395,3
218,1,25
242,42,1
211,152,1
24,438,1
13,804,1
22,418,40
22,419,39
123,164,2
214,57,1
16,6,1
5,233,1
160,17,8
190,25,31
19,331,2
191,24,1
162,45,5
191,13,1
191,14,1
191,29,3
190,51,68
161,20,4
123,60,1
219,118,25
219,91,15
160,20,6
234,44,1
219,31,22
19,329,1
161,11,4
16,49,1
229,50,1
161,8,6
229,48,3
16,11,1
190,41,62
160,13,4
212,58,1
191,90,1
16,168,1
214,100,2
12,507,7
229,45,3
19,167,1
161,7,7
162,64,7
209,76,3
23,173,1
191,15,2
19,271,1
16,64,1
22,627,35
1,24,2
16,66,2
190,5,33
22,416,40
1,22,1
209,69,5
242,108,1
209,79,1
162,73,23
209,84,1
205,9,1
162,32,6
190,4,50
209,70,5
190,46,51
190,50,59
175,21,28
205,38,2
160,22,9
160,23,11
19,180,3
123,69,1
16,81,1
123,98,1
215,11,2
193,56,2
162,65,14
209,63,5
22,646,125
209,83,3
162,66,17
219,85,11
190,92,42
23,169,2
219,124,15
162,30,4
123,58,1
123,81,1
162,71,12
162,72,18
175,114,86
117,240,2
117,78,1
214,72,3
117,313,1
185,100,1
185,22,2
185,110,1
185,41,4
185,14,2
185,15,2
166,72,3
185,109,3
218,82,21
185,54,1
185,43,1
229,118,1
20,140,1
121,196,9
171,145,1
170,195,1
117,28,1
206,70,2
209,22,3
161,26,3
176,42,37
214,71,1
245,68,1
24,147,1
165,31,1
165,32,1
10,186,1
190,26,12
214,45,2
209,59,5
245,137,1
189,105,33
10,185,1
123,62,1
123,68,1
216,11,2
216,14,6
189,101,43
216,18,7
117,246,1
117,302,1
123,82,2
175,93,25
23,168,1
218,39,13
191,17,1
23,150,1
176,117,28
123,79,1
245,87,1
117,177,1
123,65,1
175,47,14
214,54,1
123,168,2
125,100,1
117,300,1
161,2,10
216,17,2
245,83,1
234,62,1
216,13,1
252,44,1
164,7,2
161,115,1
164,4,3
182,95,1
9,249,2
9,302,2
9,192,2
161,51,2
161,118,2
4,138,1
10,195,2
170,153,4
170,179,3
218,42,19
218,124,9
18,28,2
10,191,2
218,22,7
218,75,24
170,192,2
218,11,3
218,29,8
170,102,1
171,157,1
218,77,39
175,48,10
171,115,1
23,179,1
175,49,13
24,71,1
235,42,1
218,21,4
219,163,28
193,15,3
229,67,6
192,13,1
190,97,21
190,99,60
208,74,1
229,122,1
192,12,4
22,197,67
192,89,3
190,3,40
190,2,40
10,164,1
190,1,46
216,33,1
246,171,1
192,84,1
192,91,3
190,42,55
192,128,2
192,95,3
14,323,3
192,86,3
246,91,1
218,129,25
185,79,1
166,63,2
185,83,3
218,4,21
185,75,1
185,125,1
185,23,3
185,67,1
185,81,2
218,119,16
185,131,5
218,89,33
185,78,1
185,69,1
166,83,2
214,70,2
216,93,1
185,57,2
185,10,2
169,43,20
175,126,14
169,39,12
185,85,1
171,201,1
163,82,1
164,72,1
164,56,1
193,67,1
177,92,57
177,105,35
6,221,2
215,38,2
215,34,2
123,91,3
191,106,1
3,210,1
179,47,1
164,17,3
9,206,1
192,11,3
193,14,1
7,139,1
215,21,1
238,22,2
193,53,3
191,56,1
14,329,1
175,111,29
215,24,2
215,30,3
193,73,2
191,49,1
120,9,1
246,145,1
191,113,1
231,69,1
8,63,1
228,29,2
16,84,1
215,31,3
193,57,1
175,35,11
191,99,5
14,307,3
189,18,27
189,20,23
161,154,5
2,132,1
125,194,1
189,17,27
180,17,1
3,153,2
179,25,1
205,78,1
8,183,1
24,17,1
206,17,1
19,197,2
219,88,16
22,155,73
125,200,1
5,221,3
219,39,23
12,32,3
10,190,1
173,17,1
180,23,2
8,201,1
161,23,5
22,202,85
212,61,1
209,75,8
169,54,21
205,68,2
8,13,1
235,63,1
161,83,4
161,82,7
189,88,27
10,193,2
205,91,1
8,199,2
173,19,1
162,78,17
219,32,34
189,86,29
161,16,6
219,86,11
3,206,1
22,206,71
21,427,4
6,52,1
206,72,2
21,396,7
219,89,15
209,88,4
209,19,6
169,109,20
205,62,1
8,55,2
10,199,3
205,41,2
175,95,45
19,196,2
24,684,2
22,126,50
22,145,94
169,119,16
23,183,1
19,238,1
22,560,64
12,485,4
173,16,1
12,482,5
8,145,1
209,80,3
219,96,28
189,91,34
170,130,1
8,12,2
189,90,24
5,223,1
8,203,1
180,12,1
252,98,1
205,61,1
180,264,2
180,269,2
212,32,1
189,85,22
235,97,2
8,53,1
8,400,1
12,494,1
24,44,2
252,43,2
19,252,1
246,188,2
180,42,1
8,392,2
219,159,31
219,68,21
189,87,27
8,130,1
8,187,4
246,65,1
173,22,2
8,387,1
12,87,2
12,492,6
175,94,26
219,95,26
22,593,69
5,222,1
8,204,3
173,12,2
173,20,2
24,690,2
173,15,2
205,65,1
189,100,50
12,493,2
252,42,1
209,62,3
23,171,4
24,657,1
24,53,1
24,145,2
252,87,1
205,90,1
21,479,3
24,43,2
180,11,1
252,50,1
22,123,74
8,383,1
23,434,1
235,60,1
210,1,2
8,5,1
8,11,1
19,242,1
205,32,1
24,568,1
19,239,1
8,186,3
19,254,1
252,94,2
12,484,3
175,26,74
218,16,4
182,36,2
204,77,2
204,79,1
234,20,1
204,103,1
180,241,1
182,52,3
219,1,35
182,40,2
219,65,27
175,27,66
218,30,4
170,184,2
161,9,4
218,120,21
176,31,33
176,32,24
216,44,3
180,244,1
204,33,2
182,44,2
170,196,1
23,167,1
24,666,1
161,3,4
219,114,25
170,144,1
182,59,1
219,71,30
176,49,26
161,17,2
161,67,3
219,83,15
214,59,1
161,12,6
180,87,1
10,184,2
218,35,5
182,56,1
